name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm
ambient,,,,419,ambient,,,,434,ambient,,,,434,ambient,,,,477,ambient,,,,436,ambient,,,,457,ambient,,,,476
Control_A,12/10/22 18:30,12/11/22 15:22,20:52:00,3451,Control_A,12/11/22 15:22,12/12/22 17:45,47:15:00,338,Control_A,12/12/22 17:45,12/13/22 14:03,67:33:00,50284,Control_A,12/13/22 16:03,12/14/22 16:03,93:33:00,48117,Control_A,12/14/22 16:03,12/15/22 15:40,117:10:00,38218,Control_A,12/15/22 16:40,12/16/22 14:10,139:40:00,30187,Control_A,12/16/22 14:10,12/18/22 23:03,196:33:00,23975
Control_B,12/10/22 18:30,12/11/22 15:22,20:52:00,3482,Control_B,12/11/22 15:22,12/12/22 17:45,47:15:00,35395,Control_B,12/12/22 17:45,12/13/22 14:03,67:33:00,43965,Control_B,12/13/22 16:03,12/14/22 16:03,93:33:00,47745,Control_B,12/14/22 16:03,12/15/22 15:40,117:10:00,44502,Control_B,12/15/22 16:40,12/16/22 14:10,139:40:00,368945,Control_B,12/16/22 14:10,12/18/22 23:03,196:33:00,27239
Control_C,12/10/22 18:30,12/11/22 15:22,20:52:00,2541,Control_C,12/11/22 15:22,12/12/22 17:45,47:15:00,40119,Control_C,12/12/22 17:45,12/13/22 14:03,67:33:00,49770,Control_C,12/13/22 16:03,12/14/22 16:03,93:33:00,41780,Control_C,12/14/22 16:03,12/15/22 15:40,117:10:00,24998,Control_C,12/15/22 16:40,12/16/22 14:10,139:40:00,18213,Control_C,12/16/22 14:10,12/18/22 23:03,196:33:00,13635
Control_D,12/10/22 18:30,12/11/22 15:22,20:52:00,280,Control_D,12/11/22 15:22,12/12/22 17:45,47:15:00,43339,Control_D,12/12/22 17:45,12/13/22 14:03,67:33:00,328,Control_D,12/13/22 16:03,12/14/22 16:03,93:33:00,473,Control_D,12/14/22 16:03,12/15/22 15:40,117:10:00,455,Control_D,12/15/22 16:40,12/16/22 14:10,139:40:00,429,Control_D,12/16/22 14:10,12/18/22 23:03,196:33:00,407
pH 6_A,12/10/22 18:30,12/11/22 15:22,20:52:00,2056,pH 6_A,12/11/22 15:22,12/12/22 17:45,47:15:00,50145,pH 6_A,12/12/22 17:45,12/13/22 14:03,67:33:00,54679,pH 6_A,12/13/22 16:03,12/14/22 16:03,93:33:00,38000,pH 6_A,12/14/22 16:03,12/15/22 15:40,117:10:00,16358,pH 6_A,12/15/22 16:40,12/16/22 14:10,139:40:00,1058,pH 6_A,12/16/22 14:10,12/18/22 23:03,196:33:00,3570
pH 6_B,12/10/22 18:30,12/11/22 15:22,20:52:00,2587,pH 6_B,12/11/22 15:22,12/12/22 17:45,47:15:00,47481,pH 6_B,12/12/22 17:45,12/13/22 14:03,67:33:00,51295,pH 6_B,12/13/22 16:03,12/14/22 16:03,93:33:00,59202,pH 6_B,12/14/22 16:03,12/15/22 15:40,117:10:00,36325,pH 6_B,12/15/22 16:40,12/16/22 14:10,139:40:00,285614,pH 6_B,12/16/22 14:10,12/18/22 23:03,196:33:00,16760
pH 6_C,12/10/22 18:30,12/11/22 15:22,20:52:00,2723,pH 6_C,12/11/22 15:22,12/12/22 17:45,47:15:00,51566,pH 6_C,12/12/22 17:45,12/13/22 14:03,67:33:00,55192,pH 6_C,12/13/22 16:03,12/14/22 16:03,93:33:00,20142,pH 6_C,12/14/22 16:03,12/15/22 15:40,117:10:00,12091,pH 6_C,12/15/22 16:40,12/16/22 14:10,139:40:00,6041,pH 6_C,12/16/22 14:10,12/18/22 23:03,196:33:00,5506
pH 6_D,12/10/22 18:30,12/11/22 15:22,20:52:00,435,pH 6_D,12/11/22 15:22,12/12/22 17:45,47:15:00,6011,pH 6_D,12/12/22 17:45,12/13/22 14:03,67:33:00,904,pH 6_D,12/13/22 16:03,12/14/22 16:03,93:33:00,598,pH 6_D,12/14/22 16:03,12/15/22 15:40,117:10:00,652,pH 6_D,12/15/22 16:40,12/16/22 14:10,139:40:00,547,pH 6_D,12/16/22 14:10,12/18/22 23:03,196:33:00,606
pH 7.4_A,12/10/22 18:30,12/11/22 15:22,20:52:00,958,pH 7.4_A,12/11/22 15:22,12/12/22 17:45,47:15:00,34344,pH 7.4_A,12/12/22 17:45,12/13/22 14:03,67:33:00,49393,pH 7.4_A,12/13/22 16:03,12/14/22 16:03,93:33:00,32118,pH 7.4_A,12/14/22 16:03,12/15/22 15:40,117:10:00,20739,pH 7.4_A,12/15/22 16:40,12/16/22 14:10,139:40:00,11302,pH 7.4_A,12/16/22 14:10,12/18/22 23:03,196:33:00,8173
