name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm,name ,datetime_sealed,datetime_measured,Hrs of samples ,CO2_ppm
ambient,,,,504,ambient,,,,471,ambient,,,,,ambient,,,,603,ambient,,,,479,ambient,,,,460,ambient,,,,444
Control_A,11/2/22 19:00,11/3/22 16:15,21:15:00,1751,Control_A,11/3/22 17:15,11/4/22 17:33,46:33:00,2463,Control_A,11/4/22 17:33,11/5/22 15:03,68:03:00,3486,Control_A,11/5/22 15:03,11/6/22 17:27,94:27:00,2832,Control_A,11/6/22 17:27,11/7/22 14:10,115:10:00,3972,Control_A,11/7/22 14:10,11/8/22 14:10,139:10:00,2354,Control_A,11/8/22 14:10,11/9/22 14:10,163:10:00,2433
Control_B,11/2/22 19:00,11/3/22 16:15,21:15:00,2305,Control_B,11/3/22 17:15,11/4/22 17:33,46:33:00,2922,Control_B,11/4/22 17:33,11/5/22 15:03,68:03:00,2863,Control_B,11/5/22 15:03,11/6/22 17:27,94:27:00,2506,Control_B,11/6/22 17:27,11/7/22 14:10,115:10:00,7782,Control_B,11/7/22 14:10,11/8/22 14:10,139:10:00,5909,Control_B,11/8/22 14:10,11/9/22 14:10,163:10:00,3772
Control_C,11/2/22 19:00,11/3/22 16:15,21:15:00,3469,Control_C,11/3/22 17:15,11/4/22 17:33,46:33:00,5836,Control_C,11/4/22 17:33,11/5/22 15:03,68:03:00,6116,Control_C,11/5/22 15:03,11/6/22 17:27,94:27:00,7350,Control_C,11/6/22 17:27,11/7/22 14:10,115:10:00,9844,Control_C,11/7/22 14:10,11/8/22 14:10,139:10:00,9109,Control_C,11/8/22 14:10,11/9/22 14:10,163:10:00,5897
Control_D,11/2/22 19:00,11/3/22 16:15,21:15:00,527,Control_D,11/3/22 17:15,11/4/22 17:33,46:33:00,514,Control_D,11/4/22 17:33,11/5/22 15:03,68:03:00,463,Control_D,11/5/22 15:03,11/6/22 17:27,94:27:00,692,Control_D,11/6/22 17:27,11/7/22 14:10,115:10:00,955,Control_D,11/7/22 14:10,11/8/22 14:10,139:10:00,1450,Control_D,11/8/22 14:10,11/9/22 14:10,163:10:00,1821
pH 6_A,11/2/22 19:00,11/3/22 16:15,21:15:00,4683,pH 6_A,11/3/22 17:15,11/4/22 17:33,46:33:00,5510,pH 6_A,11/4/22 17:33,11/5/22 15:03,68:03:00,5959,pH 6_A,11/5/22 15:03,11/6/22 17:27,94:27:00,5081,pH 6_A,11/6/22 17:27,11/7/22 14:10,115:10:00,7823,pH 6_A,11/7/22 14:10,11/8/22 14:10,139:10:00,5663,pH 6_A,11/8/22 14:10,11/9/22 14:10,163:10:00,2512
pH 6_B,11/2/22 19:00,11/3/22 16:15,21:15:00,3635,pH 6_B,11/3/22 17:15,11/4/22 17:33,46:33:00,5968,pH 6_B,11/4/22 17:33,11/5/22 15:03,68:03:00,6888,pH 6_B,11/5/22 15:03,11/6/22 17:27,94:27:00,5914,pH 6_B,11/6/22 17:27,11/7/22 14:10,115:10:00,7000,pH 6_B,11/7/22 14:10,11/8/22 14:10,139:10:00,6561,pH 6_B,11/8/22 14:10,11/9/22 14:10,163:10:00,5283
pH 6_C,11/2/22 19:00,11/3/22 16:15,21:15:00,3960,pH 6_C,11/3/22 17:15,11/4/22 17:33,46:33:00,5513,pH 6_C,11/4/22 17:33,11/5/22 15:03,68:03:00,6435,pH 6_C,11/5/22 15:03,11/6/22 17:27,94:27:00,6144,pH 6_C,11/6/22 17:27,11/7/22 14:10,115:10:00,7672,pH 6_C,11/7/22 14:10,11/8/22 14:10,139:10:00,8086,pH 6_C,11/8/22 14:10,11/9/22 14:10,163:10:00,4370
pH 6_D,11/2/22 19:00,11/3/22 16:15,21:15:00,471,pH 6_D,11/3/22 17:15,11/4/22 17:33,46:33:00,541,pH 6_D,11/4/22 17:33,11/5/22 15:03,68:03:00,469,pH 6_D,11/5/22 15:03,11/6/22 17:27,94:27:00,470,pH 6_D,11/6/22 17:27,11/7/22 14:10,115:10:00,587,pH 6_D,11/7/22 14:10,11/8/22 14:10,139:10:00,563,pH 6_D,11/8/22 14:10,11/9/22 14:10,163:10:00,866
pH 7.4_A,11/2/22 19:00,11/3/22 16:15,21:15:00,866,pH 7.4_A,11/3/22 17:15,11/4/22 17:33,46:33:00,1220,pH 7.4_A,11/4/22 17:33,11/5/22 15:03,68:03:00,1387,pH 7.4_A,11/5/22 15:03,11/6/22 17:27,94:27:00,1389,pH 7.4_A,11/6/22 17:27,11/7/22 14:10,115:10:00,1562,pH 7.4_A,11/7/22 14:10,11/8/22 14:10,139:10:00,1597,pH 7.4_A,11/8/22 14:10,11/9/22 14:10,163:10:00,1492
