name ,Hrs of samples ,CO2_ppm,notes
Control_A,21:15:00,1443,
Control_B,21:15:00,1486,
Control_C,21:15:00,1600,
Control_D,21:15:00,305,
pH 6_A,21:15:00,2320,
pH 6_B,21:15:00,2669,
pH 6_C,21:15:00,2787,
pH 6_D,21:15:00,451,
pH 7.4_A,21:15:00,1213,
pH 7.4_B,21:15:00,1320,
pH 7.4_C,21:15:00,1211,
pH 7.4_D,21:15:00,569,
15C_A,21:15:00,1477,
15C_B,21:15:00,1427,
15C_C,21:15:00,1557,
15C_D,21:15:00,,CO2 too low
30C_A,21:15:00,3405,
30C_B,21:15:00,3792,
30C_C,21:15:00,4053,
30C_D,21:15:00,283,
High Iron_A,21:15:00,1657,
High Iron_B,21:15:00,1690,
High Iron_C,21:15:00,2433,
High Iron_D,21:15:00,314,
Stagnant_A,21:15:00,655,
Stagnant_B,21:15:00,704,
Stagnant_C,21:15:00,640,
Stagnant_D,21:15:00,309,
No Vit.Min._A,21:15:00,1486,
No Vit.Min._B,21:15:00,1573,
No Vit.Min._C,21:15:00,1543,
No Vit.Min._D,21:15:00,293,
Control_A,46:33:00,2859,
Control_B,46:33:00,2508,
Control_C,46:33:00,2771,
Control_D,46:33:00,385,
pH 6_A,46:33:00,2848,
pH 6_B,46:33:00,4721,
pH 6_C,46:33:00,4695,
pH 6_D,46:33:00,417,
pH 7.4_A,46:33:00,1931,
pH 7.4_B,46:33:00,1890,
pH 7.4_C,46:33:00,1778,
pH 7.4_D,46:33:00,484,
15C_A,46:33:00,1813,
15C_B,46:33:00,2076,
15C_C,46:33:00,2098,
15C_D,46:33:00,257,
30C_A,46:33:00,10507,
30C_B,46:33:00,9302,
30C_C,46:33:00,9333,
30C_D,46:33:00,275,
High Iron_A,46:33:00,2315,
High Iron_B,46:33:00,2133,
High Iron_C,46:33:00,3473,
High Iron_D,46:33:00,335,
Stagnant_A,46:33:00,1185,
Stagnant_B,46:33:00,988,
Stagnant_C,46:33:00,982,
Stagnant_D,46:33:00,330,
No Vit.Min._A,46:33:00,2210,
No Vit.Min._B,46:33:00,2581,
No Vit.Min._C,46:33:00,2969,
No Vit.Min._D,46:33:00,259,
Control_A,68:03:00,2437,
Control_B,68:03:00,3378,
Control_C,68:03:00,2981,
Control_D,68:03:00,311,
pH 6_A,68:03:00,3077,
pH 6_B,68:03:00,5027,
pH 6_C,68:03:00,6102,
pH 6_D,68:03:00,388,
pH 7.4_A,68:03:00,1726,
pH 7.4_B,68:03:00,1817,
pH 7.4_C,68:03:00,2147,
pH 7.4_D,68:03:00,412,
15C_A,68:03:00,2389,
15C_B,68:03:00,2690,
15C_C,68:03:00,3074,
15C_D,68:03:00,617,
30C_A,68:03:00,14654,
30C_B,68:03:00,6535,
30C_C,68:03:00,9946,
30C_D,68:03:00,395,
High Iron_A,68:03:00,3084,
High Iron_B,68:03:00,2715,
High Iron_C,68:03:00,3662,
High Iron_D,68:03:00,365,
Stagnant_A,68:03:00,1389,
Stagnant_B,68:03:00,1304,
Stagnant_C,68:03:00,1190,
Stagnant_D,68:03:00,419,
No Vit.Min._A,68:03:00,2913,
No Vit.Min._B,68:03:00,3335,
No Vit.Min._C,68:03:00,3198,
No Vit.Min._D,68:03:00,437,
Control_A,94:27:00,3018,
Control_B,94:27:00,3039,
Control_C,94:27:00,4148,
Control_D,94:27:00,287,
pH 6_A,94:27:00,4786,
pH 6_B,94:27:00,7651,
pH 6_C,94:27:00,9267,
pH 6_D,94:27:00,439,
pH 7.4_A,94:27:00,2307,
pH 7.4_B,94:27:00,2717,
pH 7.4_C,94:27:00,2600,
pH 7.4_D,94:27:00,581,
15C_A,94:27:00,3469,
15C_B,94:27:00,2849,
15C_C,94:27:00,3334,
15C_D,94:27:00,386,
30C_A,94:27:00,11069,
30C_B,94:27:00,5507,
30C_C,94:27:00,6608,
30C_D,94:27:00,381,
High Iron_A,94:27:00,3405,
High Iron_B,94:27:00,2906,
High Iron_C,94:27:00,5379,
High Iron_D,94:27:00,406,
Stagnant_A,94:27:00,1894,
Stagnant_B,94:27:00,1696,
Stagnant_C,94:27:00,1777,
Stagnant_D,94:27:00,355,
No Vit.Min._A,94:27:00,5015,
No Vit.Min._B,94:27:00,4013,
No Vit.Min._C,94:27:00,4324,
No Vit.Min._D,94:27:00,345,
Control_A,115:10:00,3680,
Control_B,115:10:00,3791,
Control_C,115:10:00,5652,
Control_D,115:10:00,315,
pH 6_A,115:10:00,5349,
pH 6_B,115:10:00,8620,
pH 6_C,115:10:00,8597,
pH 6_D,115:10:00,404,
pH 7.4_A,115:10:00,2226,
pH 7.4_B,115:10:00,2915,
pH 7.4_C,115:10:00,2084,
pH 7.4_D,115:10:00,411,
15C_A,115:10:00,4382,
15C_B,115:10:00,3873,
15C_C,115:10:00,3966,
15C_D,115:10:00,281,
30C_A,115:10:00,13115,
30C_B,115:10:00,6192,
30C_C,115:10:00,6709,
30C_D,115:10:00,393,
High Iron_A,115:10:00,3157,
High Iron_B,115:10:00,2393,
High Iron_C,115:10:00,6129,
High Iron_D,115:10:00,395,
Stagnant_A,115:10:00,1839,
Stagnant_B,115:10:00,2015,
Stagnant_C,115:10:00,2238,
Stagnant_D,115:10:00,347,
No Vit.Min._A,115:10:00,3972,
